sentence,label
"The sellers include 40 shareholders , including Intellibis management , employees and other investors .",neutral
Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .,positive
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,positive
"Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. .",neutral
"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",positive
The total value of the deal is USD 29mn .,neutral
"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive
The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .,negative
"The company 's board of directors will propose a dividend of EUR 0.95 per share for 2008 at the annual general meeting , scheduled to be held on March 23 , 2009 .",neutral
With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .,positive
"The new office , located in Shenzhen , will strengthen Vaisala 's already 10-year old presence in China .",positive
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive
"The facility will be used to refinance Citycon 's existing credit facility , the company said .",neutral
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",neutral
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",negative
"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .",neutral
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",positive
The company also said that its board of directors has proposed a profit distribution of EUR0 .92 per share .,neutral
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,neutral
The first phase will be completed by the end of 2012 .,neutral
"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn .",negative
- Counter your competitor 's strengths and target their weaknesses .,neutral
"City24 users can search for homes and properties in all areas where City24 is active , even outside their own country .",neutral
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral
Lean System supports change management and component purchasing extremely well .,positive
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .",negative
Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America .,positive
The value of the order is about EUR 30mn .,neutral
The sellers were the founders of the company .,neutral
"Marathon now has a 4.6 percent stake in PLX , it said , according to Bloomberg .",neutral
Demand was brisk as expected and order levels have remained high .,positive
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive
Joint procurement will be later extended to the factories in the Baltic countries .,neutral
"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",neutral
Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V .,neutral
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,negative
Finnish Bank of +àland reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,negative
The total capacity of the factory will be approximately 100 engines a year .,neutral
This organization will assume the responsibility for operations in Russia .,neutral
"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic .",neutral
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive
- Cash flow from operating activities before investments was EUR 0.8 -1.2 million .,neutral
Sales have risen in other export markets .,positive
"Like all other mechanical pipettors from Biohit , also Proline Plus is CE-IVD marked and comes with a 3-year warranty .",neutral
"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .",negative
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,positive
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",negative
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",positive
"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .",neutral
"The 5,000 megawatt wind farm being planned in Raahe would be built offshore in front of Ruukki 's Raahe Works .",neutral
"Upon completion of these transactions , Metso 's stake will amount to more than 60 % .",neutral
"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",positive
The markets expect Heineken to sell Hartwall as a whole or in parts .,neutral
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,positive
The event can also be viewed as a live webcast at www.cargotec.com .,neutral
`` They want my credit card info and my personal details .,neutral
Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .,positive
The medium-term operative targets of the company remain unchanged .,neutral
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,neutral
"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making .",neutral
"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .",positive
"The company targets sales of Ls 27.1 mn ( Ls 23.498 mn ) and a profit of Ls 300,000 ( Ls 371,500 ) in 2007 .",neutral
"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,000 people .",neutral
Financial details were not disclosed .,neutral
"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .",neutral
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,negative
The company does not disclose the sum it applied for .,neutral
AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .,neutral
Fortum also has a blocking stake in Northwestern TGK-1 .,neutral
The business area 's net sales were slightly over 2m in 2006 .,neutral
"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel .",positive
"A total of 185 Wonderware Certified SIs are available to integrate and support Wonderware products such as InTouch -« HMI software , IndustrialSQL Server historian , Wonderware Information Server , DT Analyst software or QI Analyst SPC software .",neutral
The insurance division turned a EUR120m profit .,neutral
The Swedish player became majority owner of UCell in mid-2007 .,neutral
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive
"In the Baltic countries , Atria 's target is organic growth .",neutral
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",positive
"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",positive
"Finnish Konecranes is again trying to acquire Italian Fantuzzi , a manufacturer of gantry cranes and reach stackers .",neutral
CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,neutral
`` Lemminkainen Talo Oy 's Lahti office is a significant logistics and business premises constructor .,neutral
"Cencorp , headquartered in Virkkala , Finland , develops and supplies automation solutions to the electronics and semiconductor industry that enhance productivity .",neutral
Part of the reductions will be made through retirement arrangements .,neutral
A total of $ 78 million will be invested in the project .,neutral
Underground parking facilities will also be built on the basement floor .,neutral
"Furthermore , our fully electrically driven cranes are environmentally friendly .",positive
"Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",positive
"Presentation materials will be posted on the company 's website : www.seahawkdrilling.com in the `` Investor Relations '' section , on the `` Webcast & Presentations '' tab .",neutral
The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,negative
( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . ),neutral
The parties have therefore agreed to leave Avena out of the deal .,neutral
`` Management decided at the end of 2005 to increase cathode copper capacity .,neutral
The company 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,neutral
"One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard , company said in a statement received by Lesprom Network .",neutral
In Sweden the agreement covers data communication services as well .,neutral
"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said .",positive
"The equipment will be made at Vaahto 's plant in Hollola in Finland , and delivery is scheduled for the first quarter of 2009 .",neutral
"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",positive
The contract value amounts to EUR 2.4 million .,neutral
"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",neutral
The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .,neutral
The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes .,neutral
The personnel s expertise and high level of technology play a major role in Exel Composites operations .,neutral
The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,neutral
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",neutral
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",positive
An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 .,neutral
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive
It will report full-year results on August 22 .,neutral
"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .",neutral
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,positive
Our standardised services have met with a positive reception among our customers as well as at Itella .,positive
"Thanks to the internet , consumers compare products more than previously and Finnish companies are not competitive .",negative
`` The combined activities will create value for shareholders and be good for our employees and customers .,positive
The estimated value of the deal is USD 9.2 million .,neutral
The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,neutral
"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",negative
"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",positive
Exel wants to serve its industrial customers with individual products .,neutral
The deal will have no significant effect on the acquiring company 's equity ratio .,neutral
"The company said that 80 % of the shares of the holding company will be sold to Meadville Holdings Limited , a Hong Kong listed parent company of the Meadville Group .",neutral
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral
"The buyer is real estate owner Propertos Oy , but the companies have agreed not to disclose financial details of the deal .",neutral
Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !,neutral
"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",positive
"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",positive
"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",positive
"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group .",neutral
"In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+ñrvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy .",neutral
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",neutral
"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets .",neutral
Other details were not provided .,neutral
Almost the entire office building will be occupied by Metso .,neutral
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,negative
"The other two sellers were the Finnish National Fund for R&D ( Sitra ) and Oras Invest Oy , which also sold half of their shareholdings , leaving them with 3.8 pct and 3.2 pct of the company respectively .",neutral
Scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics .,neutral
Rautaruukki aims to find work from the group 's other locations for those who have been made redundant .,neutral
"The sale , comprising the margarine business in Finland and Poland , follows the approval of the Polish competition authorities earlier in October .",neutral
Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia .,neutral
"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .",positive
"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .",neutral
"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .",neutral
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",negative
The talks are aimed at restructuring operations and cutting costs .,positive
Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland .,neutral
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive
"Rautakesko 's business operations in Norway and Russia , acquired in July 2005 , are included in the figures of the comparable period , impacting sales growth starting from August .",neutral
Exports grew 16.5 percent to 19.1 million liters .,positive
A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,neutral
"The value of the contract is about EUR1 .0 m. Poyry , headquartered in Vantaa , Finland provides consulting and engineering services to the energy , forestry and infrastructure & environment sectors .",neutral
This corresponds to 6.81 percent of Okmetic 's share capital and voting rights .,neutral
The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,neutral
Symphony Services provides development services for Aldata GOLD .,neutral
"1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .",neutral
"The Bank of Tokyo-Mitsubishi UFJ , Ltd acted as agent for the loan .",neutral
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative
"The total floor area of the plant expansion is 29,000 square metres .",neutral
"Previously , the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year .",positive
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress .,neutral
"`` The biggest challenge was to make the piece look raw , '' Hansen said .",neutral
"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",positive
"A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares .",neutral
Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter .,neutral
"treatment products in Usa , Canada , Mexico , Australia and Brazil Today , Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries .",neutral
Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .,neutral
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,positive
The initial estimated total value was 1744900 EUR and the final award value was 1744900 EUR .,neutral
"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .",neutral
"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007 .",neutral
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",neutral
"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",neutral
"Of the company 's net sales , 38 % was acquired in Finland , 21 % in other European countries , 40 % in Asia , and 1 % in the US .",neutral
"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",positive
The company will also be compensated for acting as a reserve batch plant .,positive
"An  of the invention , released by the Patent Office , said : `` A non-coherent search matrix is formed of said correlation function matrix .",neutral
"Net sales by the Sata-Flexo Group came to some EUR4 .3 m in 2007 , and the group companies employed a total of 40 people .",neutral
"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company .",neutral
The sales price was not disclosed .,neutral
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .",neutral
"Cargotec Corporation , Press Release , August 26 , 2008 at 10 a.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .",positive
"Besides , Pit-Produkt will enter the new segments .",neutral
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,neutral
"The total value of the agreement is USD4 .0 m , the company said .",neutral
Return on investment was 16.6 % compared to 15.8 % in 2004 .,positive
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .,neutral
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,negative
"According to Tiimari , consumers are advised to cut away the rabbits bow tie that contains the formadehyde and dispose of it .",neutral
"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore .",neutral
"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net .",neutral
"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009 .",positive
"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .",neutral
"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .",positive
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral
The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,neutral
"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow .",neutral
Finnish energy company Fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production .,neutral
"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-á323-á6201 USA .",neutral
"The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .",positive
The share subscription period will expire on 30 September 2007 .,neutral
"Operating loss totalled EUR 0.3 mn , down from a profit of EUR 5.1 mn in the first half of 2009 .",negative
"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",negative
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,negative
R&D Loan ) .,neutral
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc and Pohjola Bank Plc. .",neutral
The number of bodily injury cases quadrupled in 2000-2006 .,negative
"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",neutral
The orders are part of a long-term development plan of Latvijas Finieris .,neutral
No financial details were disclosed .,neutral
"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania .",neutral
"ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral
"In addition , the company is considering the start of production in Russia .",neutral
Industry Investment is very interested in Glaston 's solar energy projects .,positive
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",neutral
"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .",positive
"The effect may remain short-lived , however .",neutral
The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .,neutral
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",neutral
"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",neutral
The authorization is in force for a period of 18 months from the resolution by the General Meeting .,neutral
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",positive
"The order consists of capacity expansion , maintenance services and new charging functionality , the company said .",neutral
The company 's model is based on developer contracting construction projects and customer focused project management .,neutral
"The company 's net profit amounted to EE 55.5 mn , which was 36 % more than in 2004 .",positive
"The contract value amounts to about EUR11m , the company added .",neutral
According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,neutral
"According to the report , Elisa 's and DNA 's joint market share of Finland 's telecom market is 59 % .",neutral
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral
The acquisition is expected to take place by the end of August 2007 .,neutral
Connectivity Services include outsourced Scan and Capture which transfers paper invoices into electronic format and Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,neutral
The category was marked by maturity and the recession .,neutral
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,positive
"The e-commerce site and flagship will be managed by Marimekko North America Retail LLC , a subsidiary established in the U.S. last year .",neutral
"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",positive
"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",neutral
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",negative
Net sales have been eaten by the weak US dollar .,negative
"Yesterday , Legrand issued its E300 million fixed rate deal maturing 2017 .",neutral
Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology .,neutral
"According to Bosse , the present cooperation is beneficial to all parties , however .",positive
"The remaining amount will be funded through debt , the Danish bank said .",neutral
"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .",positive
The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .,neutral
The name of the buyer was not disclosed .,neutral
"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) .",neutral
"The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons .",neutral
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",neutral
"The competition was received with great enthusiasm by the employees , he goes on .",positive
The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq .,neutral
The financial details of the acquisition were not disclosed .,neutral
Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .,negative
26 November 2010 - Finnish sports-equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today it has obtained a EUR30m Schuldschein note loan from a pool of international investors .,neutral
The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,negative
"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",positive
"The EB Tough VoIP Field Phone is equipped with an integrated speaker , Ethernet and SHDSL connectivity , and enables several innovative applications .",neutral
STUK today is a full service house expert in radiation and nuclear safety issues .,neutral
"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,positive
Alma Media 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,neutral
"Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .",negative
"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",positive
Finnish Honkarakenne that specialises in the building of log houses is planning to use pine from Russian Karelia .,neutral
"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",negative
"- Demand for fireplace products was lower than expected , especially in Germany .",negative
"Previously , the company anticipated its operating profit to improve over the same period .",positive
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral
Revenues at the same time grew 14 percent to 43 million euros .,positive
We are now taking Marimekko there on a distinctly more significant scale .,neutral
Financial terms were n't disclosed .,neutral
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative
"Most recently , he founded Virent Energy Systems , Inc. , an 80 person catalytic biofuels company , where , as president and CEO , he led the company through multiple financings , defined the company 's market strategy , and secured the company 's first customers .",neutral
Protalix has $ 42 million in cash and no sales .,neutral
"The Point Village , designed by Scott Tallon Walker , will include a shopping center , office premises , a hotel and a cinema .",neutral
Scanfil has also issued a profit warning .,negative
Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,negative
"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .",positive
"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",neutral
"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",neutral
"`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said .",neutral
"Mr Clausen , however , refused to comment the option that Nordea would consider buying into Citadele Bank .",neutral
The platform would continue to be the development framework for Symbian and MeeGo .,neutral
The sale price was not disclosed .,neutral
"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .",neutral
Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .,positive
"s business sectors are building construction , infrastructure construction and technical building services .",neutral
The plant will collect raw material from the Baltic Sea region .,neutral
"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier .",positive
"The decision of the French Court relates to the claims raised by twenty-one former Aspocomp S.A.S employees , the company said .",neutral
