sentence,label,agreement
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,positive,AllAgree
Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria .,positive,75Agree
"Finnish P+Âyry has been awarded an engineering contract by CFR , the national railway company of Romania .",positive,66Agree
"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .",positive,75Agree
"As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis .",positive,66Agree
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,positive,75Agree
Deliveries have started and the network will be ready for a launch soon .,positive,75Agree
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",positive,AllAgree
"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",positive,AllAgree
"Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said .",positive,75Agree
"Exel Composites ' long-term growth prospects remain favourable , however .",positive,75Agree
"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",positive,AllAgree
Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,positive,50Agree
"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",positive,AllAgree
"Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions .",neutral,50Agree
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",positive,AllAgree
Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .,positive,66Agree
Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market .,positive,66Agree
Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,positive,66Agree
Nordea sees a return to positive growth for the Baltic countries in 2011 .,positive,AllAgree
Operating profit improved by 16.7 % to EUR 7.7 mn .,positive,AllAgree
Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,positive,AllAgree
Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .,positive,AllAgree
Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .,positive,AllAgree
Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,positive,66Agree
"Previously , the company anticipated its operating profit to improve over the same period .",positive,AllAgree
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",positive,AllAgree
"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",positive,75Agree
Synergy benefits will start to materialise in the second quarter .,positive,66Agree
Teleste and Sentry 360 have formed an integration partnership between Sentry s advanced 360-degree immersive camera product line and Teleste s enterprise video management systems .,positive,75Agree
"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",positive,AllAgree
The ` buy ' recommendation was reiterated .,positive,66Agree
The aim is to achieve EUR 2.5 mn yearly savings .,positive,75Agree
The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,positive,75Agree
"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",positive,AllAgree
The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million .,positive,AllAgree
The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,neutral,66Agree
The expansion aims to attract new customers both in Finland and abroad .,positive,66Agree
The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .,positive,66Agree
"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",positive,AllAgree
"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",positive,AllAgree
The Finnish group anticipates a sales gain of EUR42m after tax and expenses .,positive,75Agree
The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010 .,positive,66Agree
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,positive,AllAgree
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",positive,AllAgree
The stock of new machines is reasonably small and new orders bring work .,positive,50Agree
The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .,positive,75Agree
These companies will be able to keep their market positions .,positive,66Agree
This lays a foundation for sustainable business development for the long term .,neutral,50Agree
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .",positive,AllAgree
The world 's biggest magazine paper maker said the program to improve efficiency will include closing several of its least competitive mills and would cover all the company 's operations resulting in annual savings of some euro200 million US$ 240 million .,positive,50Agree
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive,AllAgree
Uponor improved its performance in spite of the decrease in residential construction in the US .,positive,AllAgree
The inventor was issued U.S. Patent No. .,neutral,75Agree
"Israeli cable network operator HOT Telecom has chosen Teleste , an international technology group , as its exclusive provider of FTTx equipment in Israel , according to Teleste today .",positive,50Agree
Incap Corporation Stock Exchange Release 4 May 2010 at 8.30 a.m. INCAP CORPORATION 'S DIRECTED SHARE ISSUE WAS SUBSCRIBED IN FULL The Board of Incap Corporation has approved the subscriptions of directed share issue .,neutral,50Agree
The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .,neutral,75Agree
`` BG Crane has been a strong partner for Hiab in Australia for many years .,neutral,66Agree
"The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes .",neutral,50Agree
"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",neutral,AllAgree
"The Group brand portfolio includes the leading brand in the industry , Rapala , and other global brands like VMC , Storm , Blue Fox , Luhr Jensen , Williamson , Marttiini and Sufix .",neutral,50Agree
"It 's `` finger-friendly '' , and to my opinion , really fast .",neutral,66Agree
"`` Thanks to my Nokia and Lulu , I am now proud to be a published His novel can be found here .",neutral,50Agree
"`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch .",neutral,50Agree
"A maximum of 20 employees , who work in Karttakeskus and are responsible for producing Geographic Information Services , will be affected , the company added .",neutral,75Agree
"About Marubeni Marubeni Corporation TSE : 8002 ; ADR : MARUY was established in 1858 , and is a core company of Marubeni Group , one of Japan 's leading general trading houses .",positive,50Agree
"ABOUT MIDNIGHTTRADER : MidnightTrader is the premier source of extended-hours US equity trading analysis , news and forecasting for the retail and institutional investment community .",neutral,50Agree
Juha-Pekka Weckstr+Âm has been appointed President of telecom group TeliaSonera Finland to succeed Esa Rautalinko .,neutral,75Agree
"According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .",neutral,66Agree
"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",neutral,75Agree
"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .",neutral,66Agree
"Additionally , retailers can use the same hardware across all tasks in stores and throughout the warehouse , providing substantial savings on support and infrastructure costs .",neutral,50Agree
"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",neutral,AllAgree
"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .",neutral,AllAgree
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,neutral,AllAgree
"An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 .",neutral,66Agree
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,neutral,AllAgree
"By implementing the software the Finnish Army aims to unify and improve its operations in these application areas , QPR Software stated .",positive,75Agree
"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds .",neutral,AllAgree
"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .",neutral,AllAgree
"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-á323-á6201 USA .",neutral,AllAgree
Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,neutral,AllAgree
"FinancialWire tm is a fully independent , proprietary news wire service .",neutral,66Agree
Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time .,neutral,66Agree
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",neutral,AllAgree
Halonen 's office acknowledged receiving the letter but declined comment .,neutral,AllAgree
He believes that the soy-oats have a good chance of entering the UK market .,positive,50Agree
"Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .",neutral,AllAgree
"However , in March 2009 , the government of St. Petersburg passed the front part of the building with the area 1,900 square metres and a land plot for a hotel worth USD 10-15mn to the company Delta .",neutral,66Agree
"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",neutral,AllAgree
"Investments span across various product and investment types , including retail , hospitality , office , and residential , with interests in real-estate portfolios , non-performing loans and corporate restructurings .",neutral,75Agree
It also recovers valuable raw material for Kemira 's water chemical production .,neutral,50Agree
"It is necessary to strengthen the company 's operations , however .",neutral,AllAgree
It will use the proceeds from the transaction to achieve its target .,neutral,66Agree
"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` We have been using Corporate Phonebook inside SysOpen Digia extensively since last fall , and we have been very satisfied with the results .",positive,66Agree
"Last year , Lemminkainen completed the Kouvola K-supermarket contract .",positive,50Agree
Le Lay succeeds Walter G++nter and will be based in Finland .,neutral,AllAgree
"Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 .",neutral,AllAgree
"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .",neutral,75Agree
Medical Devices - Russia This brand-new market analysis gives a clear overview of the actual situation and future outlook of the medical device market in Russia .,neutral,50Agree
"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .",positive,66Agree
Mformation provides enhanced management of these applications by enabling configuration and control throughout their lifecycle .,neutral,66Agree
"Mr. Jorma Valkama , Managing Director of Suomen Paikallissanomat Oy , states that Rannikkoseutu complements in an outstanding way the current product range of the company .",neutral,50Agree
"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today .",neutral,AllAgree
"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken .",neutral,75Agree
"Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes .",neutral,75Agree
"Now , Nokia has announced the launch of Bicycle Charger Kit that is compatible with all Nokia phones that have a 2 mm charging interface .",neutral,50Agree
"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",neutral,66Agree
"Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .",neutral,75Agree
Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans .,positive,50Agree
"Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region .",neutral,75Agree
"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .",positive,66Agree
"POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability .",neutral,66Agree
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",neutral,AllAgree
Satama and Trainers ' House will remain as names and independent brands of the business areas .,neutral,AllAgree
"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .",neutral,75Agree
"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",positive,75Agree
Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .,neutral,75Agree
"Tekla Structures BIM Building Information Modeling software is being developed according to a long-term plan of improved user experience , process , and functionality .",positive,50Agree
TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions .,positive,50Agree
"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .",neutral,AllAgree
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",neutral,AllAgree
The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,neutral,66Agree
The company admits that 36 months is a relatively short time when operating in Russia .,neutral,75Agree
The company has a wide selection of metal products and services .,neutral,50Agree
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral,75Agree
The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,neutral,66Agree
The Court 's decision will also promote genuine competition in services,neutral,50Agree
"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .",neutral,66Agree
"The device can also be used for theft protection and positioning of vehicles , boats and other assets .",neutral,75Agree
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",neutral,AllAgree
"The Estonian beverages maker A. Le Coq today brought to the market a new premium class beer , A. Le Coq Special , investing 6 million kroons EUR 383,000 into its development and planning to sell three million liters of the beer during the next year .",neutral,66Agree
The first phase will be completed by the end of 2012 .,neutral,75Agree
"The guidance has been set at 90 basis points over mid-swaps , the report said .",neutral,AllAgree
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral,AllAgree
"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",neutral,AllAgree
"The market making in accordance with the agreement will begin on September 24 , 2009 .",neutral,AllAgree
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",neutral,AllAgree
The ore body is sufficient to support anticipated production for at least 46 years .,neutral,50Agree
The original patent was filed in Finland under application No. .,neutral,AllAgree
"The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 .",neutral,66Agree
"The report provides a comprehensive insight into the company , including business structure and operations , executive biographies and key competitors .",positive,50Agree
"The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 Componenta Corporation shares including also the proportion to be paid in cash .",neutral,75Agree
The right margin will be viewed separately in detail with every customer .,neutral,75Agree
"The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues .",positive,50Agree
The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .,neutral,AllAgree
"The value of the deal exceeds EUR500 ,000 , the company said .",neutral,75Agree
"This implementation will upgrade the existing system , enabling voicemail and video mail to be housed on the same platform .",neutral,50Agree
This is the second successful effort for the financial investor this year .,positive,66Agree
Travel expenses would be reimbursed in accordance with the travel policy of the company .,neutral,75Agree
Welcome !,neutral,AllAgree
Wellness services will be important in the future .,neutral,66Agree
"You need to be ready when the window opens up , Rosberg said .",neutral,AllAgree
- Tikkurila inspires you to color your life .,neutral,66Agree
: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .,positive,75Agree
CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,neutral,75Agree
Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .,neutral,75Agree
"` For Nordea , moving into the new headquarters signifies the beginning of a new era .",positive,50Agree
"` We respect their decision ... the discussions are now closed , ' said Kai Telanne , Alma Media 's CEO .",neutral,75Agree
"`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said .",neutral,66Agree
"`` I 'm happy with the outcome , '' Sneed said after the hearing .",positive,66Agree
"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",positive,50Agree
`` It allows the young child to move forward with his life . '',positive,75Agree
"`` Our decision and resolve on MeeGo is only stronger , '' she continued .",positive,66Agree
`` The issues identified by Stonesoft affect a range of content inspection technology .,neutral,AllAgree
`` They want my credit card info and my personal details .,neutral,AllAgree
"`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .",neutral,66Agree
"`` We will now , after the relevant authority approvals , make a mandatory bid as required by the Finnish Securities Markets Act .",neutral,75Agree
1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,positive,50Agree
A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .,neutral,75Agree
A new production line is being completed for the contract production of hormone treatments .,positive,50Agree
A quick `` one-stop-shop '' to understand the company .,neutral,75Agree
About Dopplr Dopplr is a service for smart travellers .,neutral,AllAgree
About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .,positive,66Agree
About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices .,positive,50Agree
About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .,neutral,50Agree
"According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland .",neutral,AllAgree
Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .,neutral,50Agree
"Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor .",positive,50Agree
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,positive,66Agree
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,neutral,66Agree
"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",negative,50Agree
Swedish Wallenberg family controlled Investor has bought a large stake of C shares in Swedish retail bank SEB .,neutral,50Agree
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",negative,66Agree
"According to Barclays , the F-Secure software will protect users from hackers , viruses , spyware and other digital attacks .",neutral,66Agree
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",neutral,AllAgree
"According to Finnair Technical Services , the measure is above all due to the employment situation .",neutral,AllAgree
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",neutral,AllAgree
"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .",neutral,AllAgree
"According to the company , staff will be laid off temporarily when necessary .",negative,50Agree
"According to Tyrv+ñinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .",neutral,66Agree
"According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks .",neutral,66Agree
"After the signing , the total amount of Aspo 's revolving credit facility agreements is EUR 50 million , which replaces the formerly valid agreements of EUR 80 million .",neutral,50Agree
"Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company .",neutral,50Agree
"Aho is proud of the company 's new product , Lordi-Cola .",neutral,50Agree
"ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use .",neutral,50Agree
"Also , a seven-year historic analysis is provided for these markets .",neutral,75Agree
"Also , a six-year historic analysis is provided for these markets .",neutral,AllAgree
"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .",neutral,66Agree
Also Chile is an important market area for forest machine companies .,neutral,66Agree
Also the traditional grapevine carries a lot of weight .,neutral,75Agree
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,positive,75Agree
Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .,positive,50Agree
Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,neutral,AllAgree
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,neutral,AllAgree
"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .",neutral,50Agree
"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .",neutral,75Agree
"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .",neutral,66Agree
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,negative,66Agree
"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia .",neutral,50Agree
"As the world leaders in developing UV technology for municipal wastewater , drinking water , and industrial water treatment systems , Trojan Technologies was a logical partner in providing W+ñrtsil+ñ with UV technology for ballast water treatment .",neutral,66Agree
"Aspo 's strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors .",neutral,50Agree
"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -¦ s shares outstanding .",neutral,75Agree
Atria Group is a leading Scandinavian meat products group .,positive,50Agree
"Atria will launch a campaign in September to promote the CampoMos brand on the Moscow market , he said .",positive,50Agree
"BG AD , Bulgaria 's leading Internet company .",positive,50Agree
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",neutral,AllAgree
"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .",neutral,AllAgree
"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .",neutral,AllAgree
Castecka said the town hall would hold talks with other investors interested in the zone .,neutral,AllAgree
Central Europe is an important market area for Honka .,neutral,75Agree
cents Recognize potential partnerships and suppliers .,neutral,50Agree
Certain shareholders have irrevocably agreed to vote in favor of the bond issue .,positive,50Agree
"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .",neutral,AllAgree
Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .,neutral,66Agree
Competition authorities will have to approve the deal before it can be finalized .,neutral,AllAgree
"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 .",neutral,AllAgree
Completion of the transaction is subject to a final agreement and a Due Diligence process .,neutral,AllAgree
Construction is expected to be completed in the summer of 2011 .,neutral,AllAgree
Consumers are now increasingly interested in what they can do with heir phones .,neutral,50Agree
"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) .",neutral,66Agree
Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .,neutral,66Agree
"Demand seems to have hit bottom now , and some signs of improvement can be seen .",positive,75Agree
"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek .",neutral,75Agree
"Dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .",neutral,75Agree
Dragonfly Love is another video shot from start to finish using the Nokia N8 .,neutral,AllAgree
"During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .",neutral,75Agree
EB will hold the exclusive rights to market the new entity 's product .,neutral,50Agree
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .",neutral,AllAgree
"Elisa Corporation , headquartered in Helsinki , is a Finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services .",neutral,50Agree
"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''",positive,75Agree
"Entire paper mills may be set up , especially in the new EU member states .",neutral,75Agree
"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .",neutral,AllAgree
"Even so , Tulikivi emissions are well below some of the strictest state standards including Washington and Colorado .",neutral,50Agree
FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,neutral,75Agree
"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",neutral,AllAgree
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) said on Friday ( 27 June ) that it has completed employee negotiations regarding a reorganisation of its operations .,positive,50Agree
Finnish consumers prefer to buy the cheapest beer brand .,neutral,66Agree
"Finnish engineering and technology company Metso Oyj said on May 27 , 2008 it completed the acquisition of paper machinery technology from Japanese engineering company Mitsubishi Heavy Industries ( MHI ) for an undisclosed sum .",positive,50Agree
"Finnish holding company Panostaja Oyj said on June 12 , 2007 it has signed a letter of intent to acquire local Lahden Lampokasittely Oy and Heatmasters Oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .",neutral,66Agree
Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,neutral,50Agree
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",neutral,AllAgree
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,neutral,AllAgree
"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .",neutral,66Agree
